token;freq
ffonssadera;1
azemilas;1
pedido;42
monedas;12
guardadas;42
enque;1
osados;32
costrennir;1
comiendas;2
mas;242
daqui;1
reuocamos;1
ffazer;2
pueblas;9
cotos;16
heredades;101
uoluntad;1
ordenar;16
aya;241
ciertos;19
casa;273
espeçial;2
libren;13
pleitos;96
ordenamientos;9
ffiziemos;2
valladolit;243
cccxlv;1
annos;4
ordenamiento;33
enla;1
cccxlvi;1
aguarda;1
endereçamiento;2
pueblos;46
guardados;47
notarios;19
dichos;105
estas;487
suso;103
dichas;98
dellas;3
chancelleria;1
viniere;23
passare;19
vala;111
cumpla;29
yantar;72
jnffante;9
ganaren;7
johan;14
auemos;1
aquella;161
quantia;1
viuiendo;1
fagamos;16
alazio;1
demos;29
destos;1
ffagamos;1
palazio;3
fecho;240
yendo;7
desto;3
tiera;2
seellados;3
ocho;192
dias;13
iunio;1
ccc;306
quarenta;2
nueue;1
regnante;11
vno;1
costanca;1
ffija;1
murçia;2
conffirmamos;1
nazar;11
granada;117
vassallo;512
conffirma;5
tio;2
adelantado;224
ffronetera;1
vizcaya;50
hermano;143
ffelipe;1
gutierre;9
rodrigo;470
santyago;1
chançeler;1
notario;344
conffima;1
confirma;7050
geraldo;1
palencia;241
segouia;1
osma;106
pasqual;3
calahorra;111
vaga;282
simon;10
siguença;1
auila;1
plazençia;1
cartaiena;1
uaga;1
anton;1
aluarrazin;1
garçia;2
ffrey;3
cadiz;1
garcia;3
lopez;3
maestre;534
calatraua;1
fferrandez;4
prior;20
ospital;22
manuel;149
maordomo;2
fijo;652
nunnez;3
lop;84
diaz;3
haro;82
alffierez;1
royz;4
saldanna;1
garçi;1
villa;587
lobos;4
perez;7
ffinoiosa;1
malrrique;1
guzman;1
iohan;1
ramirez;5
gonçalez;1
maçanedo;26
mendoça;88
rueda;129
signo;126
fiio;1
mayordomo;108
alfierez;2
goncalo;1
ouiedo;1
astorga;140
orens;116
salamanca;161
çibdat;2
coria;99
badaioz;1
diego;96
mendonnedo;1
tuy;106
lugo;101
cauallsoeria;1
sant;182
yago;3
ponz;37
rodrig;74
aluarez;1
asturias;25
fide;1
rodriguez;2
castro;101
xuarez;2
deça;2
adelansotado;1
fferrand;1
gomez;13
firma;35
sanchez;2
velascor;3
adelansetado;1
padiella;11
justiçia;2
chanceler;96
guzberth;1
castiel;23
nouo;1
almirante;15
mar;120
alcantara;1
abbat;1
aruas;1
andaluzia;2
rroyz;2
mandasdo;1
alffonsso;3
ffiz;1
escriuir;1
ssezeno;1
rrey;1
ssobredicho;1
rregno;1
espíritu;56
onra;69
servicio;391
maría;315
señora;56
advogada;1
fechos;35
faze;44
olvide;10
canse;10
mingüe;9
curso;18
vida;217
finca;18
merecedor;2
galardón;11
caer;36
olvido;15
mandáronlo;1
después;354
toviessen;22
fuessen;90
guardarlo;1
levarlo;1
confirmándolo;10
reciben;17
adent;1
reína;348
doña;529
constança;1
onraron;3
donadíos;22
ajudados;1
señaladamientre;50
fe;104
coraçón;10
aprovechosa;2
mercedes;42
órdenes;68
clérigos;109
primeramientre;34
otorgámosles;72
usos;82
aguardados;4
otrosí;83
cumplan;27
acaeciere;45
oviéremos;19
consentimiento;11
personalmientre;2
fiziéremos;7
pedirlos;2
defendemos;148
meitad;14
l;89
vianda;23
martino;29
calçada;4
andaluzía;130
embió;27
dezir;149
fablara;1
convosco;3
dixiera;3
veniéssedes;1
frontera;106
puesto;82
hermandat;6
quisiestes;5
respuesta;35
senon;7
embiávades;3
vuestros;301
mensageros;5
sabedes;42
muy;541
aviedes;19
qué;232
enviar;8
fue;540
prometido;4
mayormiente;3
librar;41
librasse;2
librara;1
fuesse;110
digo;52
movades;2
vengades;2
é;175
mester;119
puedo;50
escusar;35
córrenme;1
astráganme;1
dan;49
vagar;2
tomades;11
venid;1
pongades;8
escusa;7
pesarié;3
embíe;6
estrumento;6
dia;19
os;15
mostrada;24
baeça;148
xxviii;20
mayo;167
xxii;36
joán;1290
heredero;184
noble;200
miranda;92
dovos;17
otórgovos;12
confírmovos;10
fueros;121
costumbres;90
oviestes;27
avuelo;123
emperador;209
españa;138
pagáredes;4
uno;611
sí;234
cruz;39
santos;31
evangelios;16
metí;4
mis;270
juré;12
fágovos;15
pleito;118
omenage;16
nunca;147
pase;18
consienta;13
passe;48
pare;8
convusco;25
ayude;10
cuerpo;115
guardasse;11
fuese;14
ayudase;1
quisiesen;1
pasar;47
diziéndomelo;2
embiándomelo;3
corte;123
emendare;3
minguare;3
mándovos;44
amparedes;7
defendades;12
valades;4
menos;163
desaforada;10
saliere;9
vean;17
estudieren;16
fallaren;41
pongan;26
recabdo;42
mostrado;17
pueda;117
justicia;214
seellado;30
veinte;221
sánchez;90
escrevir;217
coñocida;59
homnes;13
abat;62
río;99
seco;6
otorgamiento;55
convento;57
font;12
omín;10
contienda;61
defesa;11
mont;9
espinoso;6
abiniémosnos;1
metiémoslo;1
abenidores;4
quinientos;27
pechasse;11
quisiesse;28
estar;109
part;7
fincasse;22
dixiessen;15
metiemos;1
cambiador;1
alcalde;115
robredo;1
ferrand;267
canonge;1
fre;2
cellerer;1
fallaron;12
mandó;260
lope;78
fitero;1
mojones;57
aderredor;3
están;140
fincados;1
cuemo;203
fincó;11
adentro;11
cortassen;3
paciessen;4
roçassen;2
noche;75
día;429
afuera;2
pascan;24
sol;38
tórnense;1
yazer;1
corten;13
rocen;2
lavor;21
nenguna;60
fasta;403
departen;1
entre;575
labren;6
parten;6
entr;36
departir;1
gonçálvez;227
cereso;3
ferrant;169
çatiquero;1
clamaron;1
ancianos;4
fazeras;6
departieron;2
departido;5
allí;107
fincaron;7
fronteras;6
maten;5
carneros;3
pendren;20
mayores;63
migael;13
oña;10
tod;27
abinencia;3
rogamos;9
pedimos;7
merced;624
otorgue;11
mande;37
sello;11
meter;23
ruego;61
partes;202
otorgo;328
tenido;39
fazerla;2
datum;12
vallisoletum;2
rege;50
exprimente;49
viª;2
die;54
marcii;3
mª;58
ccª;57
lxxª;11
sexta;13
dó;198
gonçalvo;190
chantre;14
aldea;102
aliubayán;13
cuareínta;1
arançadas;36
olivar;58
figueral;25
ayades;105
vuestra;259
oviere;221
huertas;33
molinos;89
est;12
heredado;21
dóvos;20
seis;250
bueyes;36
aluleja;1
façalcáçar;15
trezientas;3
canónigos;63
linderos;50
guadalet;2
santiago;326
obispos;77
fraires;13
alcántara;81
libre;151
quito;95
heredar;66
quisiéredes;60
mesmo;2
donadío;126
quebrantarla;58
menguarla;14
cualquiere;93
boz;96
seellar;218
álvar;131
frómesta;54
segundo;104
regnó;227
cibdad;21
real;110
palmas;11
qu;93
isla;25
gran;139
canaria;7
diez;278
nacimiento;14
salvador;27
jesucristo;8
mil;159
cuarenta;79
ant;22
magnífico;2
reverendo;3
licenciado;7
luis;57
padilla;2
tezorero;1
canónigo;37
catredal;2
iglecia;5
inquizidor;1
apostólico;1
crimen;3
delito;8
herética;1
pravedad;1
apostacía;1
islas;11
distrito;3
autoridad;13
apostólica;3
juan;201
vega;11
púbrico;1
secretario;41
oficio;42
inquizision;1
pareció;11
presente;56
bachiller;6
fullana;12
procurador;8
promotor;3
fiscal;27
presentó;22
escrito;25
cuyo;47
tenor;5
sigue;53
paresco;4
paternidad;7
denuncio;1
hago;26
saber;94
agustín;10
guanche;2
vezino;110
tenerife;5
diócesis;1
teniendo;22
cristiano;24
gozando;2
previlexios;1
prerrogativas;1
hereticó;1
apostató;1
católica;9
haziendo;4
ritos;4
cirimonias;1
pérfida;1
secta;1
mahomat;5
susodicho;4
estando;48
habiendo;2
ido;21
navío;1
armada;15
haber;86
poco;123
quedó;18
dicha;281
bervería;2
renegó;1
bautismo;1
había;193
recebido;11
tornó;4
moro;32
puso;34
barca;8
ha;774
usado;26
usa;11
serimonias;1
porqu;2
está;338
donde;199
no;2291
habido;11
conviene;15
punido;1
castigado;4
sufra;1
dolo;2
patrosine;1
conocido;10
publicado;2
ereje;2
apostata;1
pido;27
reverenda;2
proseder;2
proseda;1
consten;1
apóstata;1
cristiana;6
mandando;2
edicto;1
citatoria;1
plublicándola;1
mandándola;1
publicar;2
convenible;1
dentro;75
paresca;5
presonalmente;1
responder;34
siente;9
compurgar;1
erejía;1
infamado;1
testificado;1
causa;47
hasta;288
sentensia;1
difinitiva;1
execución;2
información;37
denunciado;3
ausencia;13
presentación;10
presento;4
depucisiones;1
testigos;59
han;312
depuesto;2
libros;11
cuales;96
cabesa;2
proseso;2
asimesmo;1
inventariar;1
secrestar;1
qualesquier;2
hazienda;16
dondequier;1
hallaren;1
séame;1
hecho;111
cumplimiento;25
denunciación;3
maliciosamente;2
así;263
presentando;2
juró;20
forma;105
pone;26
malicia;5
presentado;15
presentada;6
juntamente;4
proveerá;1
ordinario;12
francisco;112
dávila;12
mío;227
ahora;197
acavo;1
saver;7
regresado;1
hacienda;13
adonde;3
iva;5
despachar;3
sirviese;2
continuación;7
avisarme;1
entregó;8
pablos;5
nepomuceno;7
comandante;8
antonio;58
moreno;10
orden;408
cárcel;21
deshoras;1
pues;201
tenía;78
recomendado;2
mantubiese;1
disposición;14
juzgado;5
mandase;5
excarcelar;1
administrador;4
renta;44
tavaco;2
depositarlo;1
efectos;27
matrimonio;24
combenga;3
servir;44
contextarme;1
guarde;35
mérida;91
diciembre;24
beso;24
atento;8
capitán;41
yolant;141
mugier;228
infant;18
grand;125
pobladores;36
aldeas;155
farán;19
acrecentarles;4
levarlos;7
dóles;19
otórgoles;44
sietmancas;7
adaja;1
quita;42
montes;98
fuentes;97
ríos;42
pastos;45
pertinencias;6
deve;80
poblar;27
cortar;22
finquen;21
sacando;14
cabeça;85
março;93
acrezca;2
avía;67
cualesquier;179
tengan;59
defender;37
mostraren;36
ningún;174
ni;683
seña;15
vengan;56
judgar;46
quebrantarle;10
minguarle;12
mandélo;17
noviembre;76
odoart;22
primero;233
henric;56
anglatierra;19
recibió;37
cavallería;109
regnant;100
badalloz;141
algarve;246
confírmolo;44
electo;243
felip;68
aboabdille;68
abén;230
naçar;49
aparicio;77
remondo;90
sigüença;105
maté;101
beneito;9
ávila;119
aznar;95
adam;69
plazencia;115
pascual;138
frey;244
cartagena;157
pedrivañes;50
calatrava;113
frederic;53
nuño;139
lópez;231
simón;93
roíz;264
téllez;102
núñez;159
guillem;82
guzmán;106
niño;71
álvarez;114
díago;227
gómez;306
gutier;89
suárez;144
suer;43
costantinopla;47
emperadriz;145
berenguela;99
comde;136
lois;39
belmont;48
monfort;28
mahómath;16
huth;10
gastón;67
bizcomde;112
beart;63
guy;57
limoges;52
alferezía;40
mafot;11
niebla;80
martín;488
oviedo;179
suero;131
leonart;32
cibdat;254
miguel;125
mendoñedo;76
robert;54
silve;65
pelay;142
garcí;253
temple;66
frolaz;26
yuañes;155
andreo;36
pertiguero;39
ramírez;69
rodríguez;197
salzedo;48
almirage;49
xódar;48
morant;48
cuarto;74
rabí;1
juçaf;2
çabaçay;1
judío;35
tienda;31
tras;146
espaldas;11
tiendas;47
judíos;105
camiadores;1
tercera;46
cabo;82
puerta;51
arco;4
grant;113
venden;6
fruta;1
va;206
remont;4
bonifaz;9
cal;20
francos;14
algorfa;1
fijos;275
nietos;33
ovieren;280
quisiere;111
minguarla;81
mandela;23
xix;12
castilla;80
galliza;14
godino;1
godíñez;2
guiral;1
carpio;1
mios;229
embiaron;86
echávades;1
ardón;20
pechassen;7
estremadamientre;1
alfoz;35
diégelo;1
costringades;3
paguen;24
pedidos;16
mengüe;8
semeja;1
guisada;1
gelos;128
alfozeros;15
conzejo;1
leída;62
dátgela;32
brioga;1
onze;32
arcidiano;99
escriví;36
fernán;23
g;12
j;6
recaudar;12
querellar;61
demandan;36
apartadamiente;4
mesa;34
señas;7
mesas;3
embié;49
avían;60
usaran;7
demandassen;16
pindrado;1
entregassen;8
mostrar;62
seellada;278
seellos;53
alcalle;49
juiz;27
lorenço;22
cogedor;23
signada;6
fernand;20
eanes;16
dizía;11
fallaran;2
alvalás;4
mostraran;4
sopieron;2
juramentaron;1
costumbre;47
guardado;38
fallado;18
tóvelo;49
prendren;2
salvo;189
juizes;55
toro;43
fuer;27
consientan;82
cient;123
quinze;86
macías;5
moñiz;5
estévanez;12
yurados;24
salud;52
pendrar;19
cayó;14
pendró;1
abarquera;1
mulo;7
no·l;17
deviendo;2
defendí;2
peindrasse;1
debda;38
rogóme;5
quitasse;5
cayera;2
quitégela;1
passedes;21
julio;84
agostín;40
parados;31
menoscaven;1
pierdan;18
fiziéronme;10
entender;60
quieren;85
sofrir;3
terceros;25
recabdar;82
diezmos;68
estén;26
delante;32
cogen;9
allegar;6
veer;48
cuánto;13
menoscaban;9
maltraen;3
fieren;3
corren;5
esconder;4
montones;3
furto;11
sabiduría;8
nacen;9
contiendas;19
barajas;5
juizos;1
enxecos;4
jurar;9
perjuran;3
pierden;12
almas;36
ponen;16
mueren;6
descomulgados;8
sentencia;77
toller;12
males;37
toda;262
dedes;46
entregamientre;6
mejor;216
recabdados;2
menoscaben;10
nenguno;90
medir;14
montón;9
repiquen;3
campana;13
vegadas;14
maltraer;3
menazar;2
correr;10
osen;3
dades;14
cogedes;4
depués;157
averles;1
semejaría;3
faziedes;6
furtar;1
menoscabar;3
viniesse;14
pesarm;1
oviesse;129
jurados;56
iiii;8
escriviola;2
fernández;58
maestro;63
nonagésima;1
tercia;13
galizia;24
desabenencia;3
sotos;2
alvos;1
fazién;37
aduzién;1
ajenos;2
suyos;37
sierras;5
queriemos;2
siguién;1
guisado;23
montárgelos;1
tomarles;3
cuchares;13
querién;14
acordámosnos;1
viene;81
tovieren;41
estraños;5
trayan;11
agenos;1
solién;19
sacados;5
cabañas;6
guardemos;16
passaren;25
manda;127
montemos;1
tomemos;7
ningunas;24
vezinos;203
estamos;36
moran;22
mandamiento;30
prometemos;23
feziemos;7
abc;9
seelladas;16
martes;49
noventa;10
embiáronme;33
confirmar;7
postura;23
abenencia;30
quebrante;2
quebrantasse;1
menoscabo;58
recibiessen;67
quel;17
prenden;6
gela;91
mandeles;19
cámara;79
per;132
paper;14
ove;22
enviastes;16
dizer;12
avedes;86
jantar;9
andavan;12
demandavan;17
nora;8
alfoceros;7
embiástesme;2
den;256
otre;9
afincamiento;1
enviáronme;7
renovar;6
aquesta;4
cuero;16
diz;22
abierta;67
esidro;25
gonçález;81
tesorero;10
peláez;11
obispadgo;3
regnan;5
quiso;40
señalladamientre;2
cuando·l;5
quisieron;16
temptar;5
demandaron;13
darién;10
césar;19
tributo;11
respondiesse;7
pudiessen;36
reprehender;5
tollié;5
malos;27
pensamientos;7
respondió;14
díxoles;5
dat;7
tomamos;24
ondras;2
